DatasourceID,Author,Year,Title,Reference,Availability,ContactAddress,DataMedium,Notes
429,"Anganuzzi, A.A.","1993","A comparison of tests for detecting trend in abundance indices of dolphins.","Fishery Bulletin, US, 91:183-194","Public Domain","Inter-American Tropical Tuna Commission, 8604 La Jolla Shores Drive, La Jolla, California 92037-1508","Hard Copy - Graphical","None"
430,"Curry, R.L. & Grant, P.R.","1989","Demography of the co-operatively breeding Galapagos Mockingbird, Nesominus parvenus, in a climatically variable environment.","Journal of Animal Ecology, 58:441-463","Public Domain","None","Hard Copy - Graphical","None"
431,"Milne, H.","1965","Seasonal movements and distribution of Eiders in Northeast Scotland.","Bird Study, 12:170-180","Public Domain","None","Hard Copy - Graphical","None"
432,"Saunders, D.A.","1966","Breeding season, Nesting Success and Nestling Growth in Carnaby's Cockatoo, Calyptorhynchus funereus latirostris, over 16 years at Coomallo Creek and a Method for assessing the Viability of Populations in other Areas.","Australian Wildlife Res., 13:261-73","Public Domain","Division of Wildlife and Rangelands Research, CSIRO, L.M.B. No 4, P.O. Midland W.A.6056.","Hard Copy - Graphical","None"
433,"Chaneton, E., Ronaldo, K. & Leon, J.C.","1997","Untitled raw data 1","Unpublished data 1","Unpublished","Faculty of Agronomy, UBA","Hard Copy - Tabular","None"
434,"Saitoh, T.","1987","A time series and geographical analysis of population dynamics of the red-backed vole in Hokkaido, Japan.","Oecologia, 73:382-388","Public Domain","None","Hard Copy - Graphical","None"
435,"Kadlec, J.A. & Drury, W.H.","1968","Structure of the New England Herring Gull Population.","Ecology, 49:644-675","Public Domain","None","Hard Copy - Graphical","None"
436,"Enemar, A., Nilsson, L. & Sjostrand, B.","1984","The composition and dynamics of the passerine bird community in a subalpine birch forest, Swedish Lapland. A 20-year study.","Annuals Zool. Fennici, 21:321-338","Public Domain","None","Hard Copy - Graphical","None"
437,"Krebs, J.R.","1971","Territory and breeding density in the Great Tit, Parus major L.","Ecology, 52:2-21","Public Domain","None","Hard Copy - Graphical","None"
438,"Gashwiler, J.S.","1970","Plant and Mammal Changes on a Clearcut in West-Central Oregon.","Ecology, 51:1019-1026","Public Domain","None","Hard Copy - Graphical","None"
439,"Garsd, A. & Howard, W.E.","1981","A 19-year study of microtine population fluctuations using time-series analysis.","Ecology, 62:931-937","Public Domain","None","Hard Copy - Graphical","None"
440,"Hornfeldt, B.","1994","Delayed density dependence as a determinant of vole cycles.","Ecology, 75:791-806","Public Domain","Department of Animal Ecology, University of Umea, S-90187 Umea, Sweden","Hard Copy - Graphical","None"
441,"Armitage, K.B. & Downhower, J.F.","1974","Demography of yellow-bellied Marmot populations.","Ecology, 55:1233-1245","Public Domain","None","Hard Copy - Graphical","None"
442,"Henny, C.J., Schmid, M.E. & Hood.L.L.","1973","Territorial behaviour, pesticides, and the population ecology of Red-shouldered Hawks in Central Maryland, 1943-1971.","Ecology, 54:545-554","Public Domain","None","Hard Copy - Tabular","None"
443,"Smith, S.M.","1994","Social influences on the dynamics of a north-eastern Black-capped Chickadee population.","Ecology, 75:2043-2051","Public Domain","None","Hard Copy - Tabular","None"
444,"Harvey, P.H., Greenwood, P.J., Campbell, B. & Stenning, M.J.","1984","Breeding dispersal of the Pied Flycatcher (Ficedula hypoleuca).","Journal of Animal Ecology, 53:727-736","Public Domain","None","Hard Copy - Tabular","None"
445,"Safriel, U.N., Harris, M.P., De L. Brooke, M. & Britton, C.K.","1984","Survival of Breeding Oystercatchers (Haematopus ostralegus).","Journal of Animal Ecology, 53:867-877","Public Domain","None","Hard Copy - Graphical","None"
446,"Watson, A., Moss, R., Rothery, P. & Parr, R.","1984","Demographic Causes and Predictive Models Of Population Fluctuations in Red Grouse.","Journal of Animal Ecology, 53:639-662","Public Domain","None","Hard Copy - Graphical","None"
447,"Elliott, J.M.","1984","Numerical Changes and Population Regulation in Young Migratory Trout  Salmo trutta in a Lake District Stream 1966-83.","Journal of Animal Ecology, 53:327-350","Public Domain","None","Hard Copy - Tabular","None"
448,"Dixon, A.F.G.","1990","Population dynamics and abundance of deciduous tree - dwelling aphids.","In: Population dynamics of forest insects, Watt, A.D., Leather, S.R., Hunter, M.D. & Kidd, N.A.C.(editors). Pp11-23","Public Domain","None","Electronic transfer","None"
449,"Krefting, L. W. &  Ahlgren, C. E.","1974","Small Mammals and Vegetation Changes After Fire in a Mixed Conifer-Hardwood Forest.","Ecology, 55:1391-1398","Public Domain","None","Hard Copy - Graphical","None"
450,"Heske, E.J., Brown, J.H. &  Mistry, S.","1994","Long-Term Experimental Study of a Chihuahuan Desert Rodent Community: 13 Years of Competition.","Ecology, 75:438-445","Public Domain","Department of Biology, University of New Mexico, Albuquerque, New Mexico, 87131 USA","Hard Copy - Graphical","Only the controls data used from this source."
451,"Shelford, V.E.","1943","Populations of the Chinch Bug in the Upper Mississippi Valley from 1823 to 1940.","Ecology, Vol. 24 No 4","Public Domain","None","Hard Copy - Graphical","None"
452,"Teleki, G., Hunt, Jr., E.E. & Pfifferling, J.H.","1976","Demographic Observations (1963-1973) on the Chimpanzees of Gombe National Park, Tanzania.","Journal of Human Evolution, 5:559-598","Public Domain","None","Hard Copy - Tabular","None"
453,"Allen, R.L.","1985","Dolphins and the Purse-Seine Fishery for Yellowfin Tuna.","Marine Mammals and Fisheries Ed.by Beddington, J.R., Beverton, J.H. & Lavigne, D.M.","Public Domain","None","Hard Copy - Graphical","None"
454,"Bowen, W. D.","1985","Harp Seal Feeding and Interactions with Commercial Fisheries in the North-west Atlantic.","Marine Mammals and Fisheries Ed by Beddington, J.R., Beverton, J.H. & Lavigne, D.M.","Public Domain","None","Hard Copy - Graphical","Data from the Statistical Bulletins of NAFO (formerly the International Commission of Northwest Atlantic Fisheries, ICNAF), Templeman (1966) and Pinhorn (1976)."
455,"Unknown","1985","Sea Otters and Shellfisheries.","Marine Mammals and Fisheries Ed.by Beddington, J.R., Beverton, J.H. & Lavigne, D.M.","Public Domain","None","Hard Copy - Graphical","Author and full title unknown. Data for Spiny Lobsters in California from California Department of Fish and Game. Data for spiny lobsters along the Pacific coast of Baja California from Guzman del Proo 1975."
456,"Drew, R.A.I. & Hooper, G.H.S.","1983","Population Studies of Fruit Flies (Diptera:Tephritidae) in South-east Queensland.","Oecologia, 56:153-159","Public Domain","None","Hard Copy - Graphical","None"
457,"Hornfeldt, B., Lofgren, O. & Carlsson, B.G.","1986","Cycles in Voles and Small Game in Relation to Variations in Plant Production Indices in Northern Sweden.","Oecologia, 68: 496-502","Public Domain","Department of Ecological Zoology, University of Umea, Umea , Sweden.","Hard Copy - Graphical","None"
458,"Hansson, L.","1984","Composition of Cyclic and Non-Cyclic Vole Populations: On the Causes of Variation in Individual Quality Among Clethrionomys glareolus in Sweden.","Oecologia, 63: 199-206","Public Domain","None","Hard Copy - Graphical","None"
459,"Angelstam, P., Lindstrom, E. & Wilden, P.","1984","Role of predation in short-term Population Fluctuations of Some Birds and Mammals in Fennoscandia.","Oecologia, 62: 199-208","Public Domain","None","Hard Copy - Graphical","None"
460,"Danell, K. & Hornfeldt, B.","1987","Numerical Responses by Populations of Red Fox and Mountain Hare During an Outbreak of Sarcoptic Mange.","Oecologia, 73 :533-536","Public Domain","None","Hard Copy - Graphical","None"
461,"Korpimaki, E.","1987","Dietary Shifts, Niche Relationships and Reproductive Output of Coexisting Kestrels and Long-Eared Owls.","Oecologia, 74: 277-285","Public Domain","None","Hard Copy - Tabular","None"
462,"Williams, K., Hobbs, R.J. & Hamburg, S.P.","1987","Invasion of an Annual Grassland in Northern California by Baccharis pilularis ssp. Consanguinea.","Oecologia, 72: 461-465","Public Domain","None","Hard Copy - Graphical","None"
463,"Sasvari, L., Torok, J. & Toth, L.","1987","Density Dependent Effects Between Three Competitive Bird Species.","Oecologia, 72: 127-130","Public Domain","None","Hard Copy - Tabular","None"
464,"Mindell, D.P., Albuquerque, J.I.B. & White, C.M.","1987","Breeding Populations in Some Raptors.","Oecologia, 72: 382-388","Public Domain","None","Hard Copy - Tabular","None"
465,"Novak, I.","1983","An efficient light-trap for catching insects.","Acta Entomologica Bohemoslovaca, 80:29-34","Public Domain","Masarykova 882,25263 Riztoky u Prahy, Czech Republic","Hard Copy - Tabular","None"
466,"Crowe, D.M.","1973","A model for exploited bobcat populations in Wyoming.","Journal of Wildlife Management, 39:408-415","Public Domain","None","Hard Copy - Tabular","None"
467,"Butler, L.","1962","Periodicities in the annual Muskrat population figures for the province of Saskatchewan.","Canadian Journal of Zoology, 40:1277-1287","Public Domain","None","Hard Copy - Tabular","None"
468,"Julian, G.","-9999","Sex ratios of winter populations.","Herpetologica, 7:20-24","Public Domain","None","Hard Copy - Tabular","None"
469,"Henderson, M.","-9999","The rook population of a part of West Cheshire.","Bird Study, 15:206-208","Public Domain","None","Hard Copy - Tabular","None"
470,"Casimir, M.","1962","History of outbreaks of the Australian plague locust, Chortoicetes terminifera (walk.), between 1933 and 1959, and analysis of the influence of rainfall on these outbreaks.","Australian Journal of Agricultural research, 13:674-700","Public Domain","None","Hard Copy - Tabular","None"
471,"Debout, G., Rov, N. & Sellers, R. M.","1994","Status And Population Development of Cormorants (Phalacrocorax carbo carbo) Breeding on the Atlantic Coast of Europe.","Breeding distribution, population status and regulation of breeding numbers in the Northeast-Atlantic great cormorant (Phalacrocorax carbo carbo) by Nils Rov. Dr. scient. thesis in terrestrial ecology.","Public Domain","University of Trondheim, Department of Zoology","Hard Copy - Graphical","None"
472,"Rov, N. & Nygard, T.","1994","Is the variation in breeding numbers of Great Cormorants caused by winter mortality?","Breeding distribution, population status and regulation of breeding numbers in the north-east-Atlantic Great Cormorant (Phalacrocorax carbo carbo) by Nils Rov. Dr. scient. thesis in terrestrial ecology.","Public Domain","University of Trondheim, Department of Zoology","Hard Copy - Graphical","Capelin stock biomass source: Anon. 1992b, Hopkins, C.C.E., & Nilssen, E.M. 1991. The rise and fall of the Barents Sea capelin (Mallotus villosus): a multivariate scenario. - Polar Research 10: 535-596."
473,"Dublin, H.T., Sinclair, A.R.E., Boutin, S., Anderson, E. Jago, M. & Arcese, P.","1990","Does competition regulate ungulate populations? Further evidence from Serengeti, Tanzania.","Oecologia, 82:283-288","Public Domain","Serengeti Wildlife Research Institute, Tanzania and The Ecology Group, Department of Zoology. ( Sinclair)","Hard Copy - Tabular","Wildebeest data: 1981, 83 & 85 were taken from Fig. 1., 1968-70 & 1973-76 ref. Sinclair & Norton-Griffiths, Oecologia 1982 53:354-369. Buffalo data: 1969,'71-'74, '76 & '84 were extrapolated from census of northern area, data given for dry season in '68&'84."
474,"Colman, J.S.","1949","The Newfoundland seal fishery and the second world war.","Un-named book chapter pp40-46","Public Domain","None","Hard Copy - Tabular","None"
475,"Southwood, T.R.E., Hassell, M.P., Reader, P.M. & Rogers, D.J.","1989","Population dynamics of the virburnum whitefly (Aleurotrachelus jelinekii).","Journal of Animal Ecology, 58:921-942","Public Domain","Imperial College, Silwood Park, Ascot, Berks","Hard Copy - Tabular","None"
476,"Zwickel, F.C., Brigham, J.H. & Buss, I.O.","1975","Autumn structure of blue grouse populations in north-central Washington.","Journal of Wildlife Management, 39:461-467","Public Domain","None","Hard Copy - Tabular","None"
477,"Davidson, J. &  Andrewartha, H.G.","1948","Annual trends in a natural population of Thrips imaginis (Thysanoptera).","Journal of Animal Ecology, 17:193-199","Public Domain","None","Hard Copy - Tabular","None"
478,"Benington, A.","1971","The decline of the Sparrow hawk, Accipiter nisus, in Northern Ireland.","Irish Naturalist, 17:85-88","Public Domain","None","Hard Copy - Tabular","None"
479,"Hard, J.J., Kope, R.G., Grant, W.S., Waknitz, F.W., Parker, L.T. & Waples, R.S.","1996","Status review of pink salmon from Washington, Oregon and California.","NOAA Technical Memorandum NMFS-NWFSC-25","Public Domain","National Marine Fisheries Service, Northwest Fisheries Science Center, Coast Zone and Estuarine Studies Division, 2725 Montlake Blvd. E., Seattle, WA 98112-2097","Hard Copy - Tabular","None"
480,"Prins, H.H.T. & Douglas-Hamilton, I.","1990","Stability in a multi-species assemblage of large herbivores in East Africa.","Oecologia, 83:392-400","Public Domain","Zoologisch Laboratorium, Rijksuniversiteit Groningen, P.O. Box 14, 9750 AA Haren (Gr), The Netherlands","Hard Copy - Tabular","Sources: 1961 Morgan-Davies, cit. in Watson and Turner 1965: 1965 -  Watson and Turner 1965: 1967 -  Vesey-FitzGerald 1969: 1969;1970 -  Douglas-Hamilton 1972: 1975 -  Mwalyosi 1977: 1976;1981;1984 - Douglas-Hamilton unpublished. Estimates were obtained by different methods, e.g.. Based on counts from other years,  warden reports, road sampling, park rangers."
481,"Angerbjorn, A., Tannerfeldt, M., Bjarvall, A., Ericson, M. From, J. & Noren, E.","1995","Dynamics of the arctic fox population in Sweden.","Annuals Zool. Fennici, 32:55-68","Public Domain","Department of Zoology, Stockholm University, S-106 91 Stockholm, Sweden","Hard Copy - Tabular","None"
482,"Venables, L.S.V. & Venables, U.M.","1971","Mammal population changes in a young conifer plantation 1960-1970, Newborough Warren, Anglesey.","Nature in Wales, 72:159-163","Public Domain","None","Hard Copy - Tabular","None"
483,"Kaikusalo, A. & Angerbjorn, A.","1995","The arctic fox population in Finnish Lapland during 30 years, 1964-93.","Annuals Zool. Fennici, 32:69-77","Public Domain","Finnish Forest Research Institute, Ojajoki Field Station, Fin-12700 Loppi, Finland.","Hard Copy - Tabular","None"
484,"Skogland, T.","1990","Density dependence in a fluctuating wild reindeer herd; maternal vs. offspring effects.","Oecologia, 84:442-450","Public Domain","Norwegian Institute for Nature Research, Large Mammal Unit, Tungasletta 2, N-7047 Trondheim, Norway","Hard Copy - Graphical","Sources: 1970 from Krafft (1970), before that and between 72 and 75 from unpublished reports by Krafft."
485,"Barnes, R.F.W. & Tapper, S.C.","1986","Consequences of the myxomatosis epidemic in Britain's Rabbit (Oryctolagus cuniculus L.) population on the number of Brown Hares (Lepus europaeus Pallas).","Mammal Rev., 16:111-116","Public Domain","The Game Conservancy, Fordingbridge, Hampshire","Hard Copy - Graphical","Danish Data from Strandgaard & Asferg (1980) The Danish bag record II. Fluctuations and trend in the game bag record in the years 1941-1976 and the geographical distribution of the bag in 1976. Danish Review of Game Biology, 11, no. 5. No information was given about the location of the estates in East Anglia."
486,"Elliot, J.M.","1994","Quantitative ecology and the brown trout.","Oxford University Press","Public Domain","Windermere Laboratory, Freshwater Biological Association, NERC Institute of Freshwater Ecology.","Hard Copy - Graphical","None"
487,"Renault, T.R. & Miller, C.A.","1972","Spiders in a fir-spruce biotype: abundance, diversity, and influence on spruce budworm densities.","Canadian Journal of Zoology, 50:1039-1046","Public Domain","None","Hard Copy - Tabular","None"
488,"Miller, C.A. & McDougall, G.A.","1973","Spruce budworm moth trapping using virgin females.","Canadian Journal of Zoology, 51:853-858","Public Domain","None","Hard Copy - Graphical/Tabular","None"
490,"Warneke, R.M. & Shaughnessy, P.D.","1985","Arctocephalus pusillus, the South African and Australian fur seal: taxonomy, evolution, biogeography, and life history.","Studies of sea mammals in south latitudes, edited by John K. Ling and M.M. Bryden.","Public Domain","Arthur Rylah Institute for Environmental Research, P.O. Box 137, Heidelberg, Vic. 3084, Australia","Hard Copy - Graphical","See also: Best (1973), Shaughnessy (1982) and Shaughnessy (unpublished.. Data)."
491,"Bannister, J.L.","1985","Southern right (Eubalaena australis) and humpback (Megaptera novaeangliae) whales off western Australia: some recent aerial survey work.","Studies of sea mammals in south latitudes, edited by John K. Ling and M.M. Bryden.","Public Domain","Western Australian Museum, Francis Street, Perth, W.A. 6000, Australia","Hard Copy - Tabular","None"
492,"Shelton, R.G.J","1986","Aspects of open sea exploitation of Atlantic salmon and the problems of assessing effects on Scottish home water stocks.","The status of the Atlantic salmon in Scotland, Institute of Terrestrial Ecology, Natural Environment Research Council","Public Domain","DAFS, Freshwater Fisheries Laboratory, Pitlochry","Hard Copy - Tabular","Source of data is Anon. 1984.Report of meeting of the Working Group on North Atlantic Salmon, Aberdeen, 1984."
493,"Brown, I.L. & Ehrlich P.R.","1980","Population biology of the Checkerspot Butterfly, Euphydryas chalcedona structure of the Jasper Ridge colony.","Oecologia, 47:239-251","Public Domain","None","Hard Copy - Tabular","None"
494,"Edwards, R.L.","1960","Relationship between grasshopper abundance and weather conditions in Saskatchewan, 1930-1958.","Canadian Entomologist, 92:619-624","Public Domain","None","Hard Copy - Graphical","None"
495,"Bergerud, A.T.","1970","Population dynamics of the willow ptarmigan Lagopus lagopus alleni L. in Newfoundland 1955 to 1965.","Oikos, 21:299-325","Public Domain","None","Hard Copy - Graphical","None"
496,"Solbreck, C.","1991","Unusual weather and insect population dynamics: Lygaeus equestris during an extinction and recovery period.","Oikos, 60:343-350","Public Domain","Dept. of Plant and Forest Protection, Swedish Univ. of Agr. Sci., Box 7044, S-750 07 Uppsala, Sweden","Hard Copy - Graphical","None"
497,"Andrew, N.I. & Choat, J.I.I.","1982","The influence of predation and conspecific adults on the abundance of juvenile Evechinus chloroticus (Echinoidea: Echinometridae).","Oecologia, 54:80-87","Public Domain","None","Hard Copy - Graphical","None"
498,"Trout, R.C., Tapper, S.C. & Harradine, J.","1986","Recent trends in the rabbit population in Britain.","Mammal Rev., 16:117-123","Public Domain","None","Hard Copy - Graphical","None"
499,"Van Dijk, Th. S. & Den Boer, P.J.","1992","The life histories and population dynamics of two carabid species on a Dutch heathland.","Oecologia, 90:340-352","Public Domain","Biological Station Luw, Kampsweg 27, NL-9418 PD Wijster, The Netherlands","Hard Copy - Graphical/Tabular","None"
500,"Nelemans, M.N.E., Den Boer, P.J. & Spee, A.","1989","Recruitment and summer diapause in the dynamics of a population of Nebria brevicollis (Coleoptera: Carabidae).","Oikos, 56:157-169","Public Domain","Biological Station, Kampsweg 27, NL-9418 PD Wijster, The Netherlands.","Hard Copy - Tabular","None"
501,"Jones, D.A.","1989","50 years of studying the scarlet Tiger moth.","TREE, 4:298-301","Public Domain","Dept of Botany, University of Florida, Gainesville, Fl 32611, USA","Hard Copy - Tabular","See also: Ford, E.B. (1975) Ecological Genetics, Chapman and Hall."
502,"Taylor, L.R., Woiwod, I.P., MacCaulay, E.D.M., Dupuch, M.J. & Nicklen, J.","1990","Rothamsted Insect Survey Annual Report.","Refer Rothamsted","Public Domain","Rothamsted Experimental Station, Harpenden, Herts, AL5 2JQ","Hard Copy - Tabular","None"
503,"Hersteinsson, P.","1989","Population genetics and ecology of different colour morphs of arctic foxes Alopex lagopus in Iceland.","Finnish Game Reserve, 46:64-78","Public Domain","Wildlife Management Unit, Agricultural Society of Iceland, P.O. Box 7080, 127 Reykjavik, Iceland","Hard Copy - Graphical","None"
504,"Dhondt, A.A. & Eyckerman, R.","1980","Competition and the regulation of numbers in great and blue tit.","Ardea, 68:121-132","Public Domain","None","Hard Copy - Graphical","None"
505,"Perrins, C.M. & Geer, T.A.","1980","The effect of sparrowhawks on tit populations.","Ardea, 68:133-142","Public Domain","None","Hard Copy - Graphical","None"
506,"Klomp, H.","1980","Fluctuations and stability in great tit populations.","Ardea, 68:205-224","Public Domain","None","Hard Copy - Graphical","None"
507,"O'Connor, R.J.","1980","Pattern and process in Great Tit (Parus Major) populations in Britain.","Ardea, 68:165-183","Public Domain","None","Hard Copy - Graphical","None"
508,"Linden, H.","1981","Changes in Finnish tetraonid populations and some factors influencing mortality.","Finnish Game Reserve, 39:3-11","Public Domain","None","Hard Copy - Graphical","None"
509,"Czajkowski, M.A., Dejonghe, J.F. & Cornuet, J.F.","1981","Sur les mouvements de Parus ater et de Parus montanus a haute altitude dans les Alpes occidentales.","Alauda, 49:61-63","Public Domain","None","Hard Copy - Tabular","None"
510,"Harington, C.R.","1963","Remarks on Devon Island Muskoxen.","Canadian Journal of Zoology, 42:79-86","Public Domain","None","Hard Copy - Tabular","None"
511,"Elton, C. & Nicholson, M.","1942","Fluctuations in numbers of the muskrat (Ondatra zibethica) in Canada.","Journal of Animal Ecology, 11:96-126","Public Domain","None","Hard Copy - Tabular","None"
512,"Wolda, H.","1997","Untitled insect light trapping data.","Refer Author","Restricted","Author","Magnetic disk","None"
513,"Boag, D.A.","1976","Influence of changing grouse density and forest attributes on the occupancy of a series of potential territories by male ruffed grouse.","Canadian Journal of Zoology, 54:1727-1736","Public Domain","None","Hard Copy - Tabular","None"
514,"Mattson, W.J.","1980","Cone resources and the ecology of the Red Pine Cone Beetle, Conophthorus resinosae (Coleoptera: Scolytidae).","Animal Entomol. Soc., 73:390-396","Public Domain","None","Hard Copy - Tabular","None"
515,"Grant, P.R. & Grant, B.R.","1987","The extraordinary El Nino event of 1982-83: effects on Darwin's Finches on Isla Genovesa, Galapagos.","Oikos, 49:55-66","Public Domain","Dept. of Biology, Princeton Univ., Princeton, NJ 08544, USA","Hard Copy - Graphical","None"
516,"Johnson, D.R. & Chance, D.H.","1974","Presettlement overharvest of upper Columbia River beaver populations.","Canadian Journal of Zoology, 52:1519-21","Public Domain","None","Hard Copy - Graphical","None"
517,"Barlow, N.D., French, R.A. & Pearson, J.F.","1986","Population ecology of Wiseana cervinata, a pasture pest in New Zealand.","Journal of Applied Ecology, 23:415-431","Public Domain","Ministry of Agriculture and Fisheries, PO Box 24, Lincoln, Canterbury, New Zealand.","Hard Copy - Graphical","None"
518,"Broekhuizen, N., Hassell, M.P. & Evans, H.F.","1994","Common mechanisms underlying contrasting dynamics in two populations of the pine looper moth.","Journal of Animal Ecology, 63:245-255","Public Domain","Department of Statistics & Modelling Science, University of Strathclyde, Glasgow, G1 1XH.","Hard Copy - Graphical","None"
520,"MacLellan, C.R.","1977","Trends of codling moth (Lepidoptera: Olethreutidae) populations over 12 years on two cultivars in an insecticide free orchard.","Canadian Entomologist, 109:1555-1562","Public Domain","None","Electronic transfer","None"
521,"Ehrlich, P.R., White, R.R., Singer, M.C., McKechnie, S.W. & Gilbert, L.E.","1975","Checkerspot butterflies: A historical perspective.","Science, 188:221-228","Public Domain","None","Hard Copy - Graphical","None"
522,"Weeden, R.B. & Theberge, J.B.","1972","The dynamics of a fluctuating population of Rock Ptarmigan in Alaska.","Proceedings of the International Ornithological Congress, 15:90-106","Public Domain","None","Hard Copy - Tabular","None"
523,"Myrberget, S.","1972","Fluctuations in a North Norwegian population of willow grouse.","Proceedings of the International Ornithological Congress 15:107-120","Public Domain","None","Hard Copy - Graphical","None"
524,"Egglishaw, H.J. & Shackley, P.E.","1977","Growth, survival and production of juvenile salmon and trout in a Scottish stream, 1966-75.","Journal of Fish Biology 11:647-672","Public Domain","None","Hard Copy - Tabular","None"
525,"Moss, R & Watson, A.","1980","Inherent changes in the aggressive behaviour of a fluctuating red grouse Lagopus lagopus scoticus population.","Ardea, 68: 113-119","Public Domain","None","Hard Copy - Graphical","None"
526,"Reijnders, P.J.H.","1980","Management and conservation of the harbour seal, Phoca vitulina, population in the international Wadden sea area.","Biological Conservation 19:213-221","Public Domain","None","Hard Copy - Graphical","None"
527,"Smith, N.J.H.","1980","Caiman, capybaras, otters, manatees, and man in Amazonia.","Biological Conservation 19:117-187","Public Domain","None","Hard Copy - Tabular","None"
528,"Newton, I.","1980","The role of food in limiting bird numbers.","Ardea, 68:11-30","Public Domain","None","Hard Copy - Graphical","See also: Reinikainen 1937. The irregular migration of th Crossbill, Loxia c. curvirostra, and their relation to the cone-crop of the conifers. Ornis fenn. 14:55-64."
529,"Sirra, J. & Eskelinen, O.","1983","Changes in the abundance of breeding waterfowl in the Liminka Bay in 1954-81.","Finnish Game Reserve, ?:107-121","Public Domain","None","Hard Copy - Tabular","None"
530,"Den Held, J.J.","1981","Population changes in the purple heron in relation to drought in the wintering area.","Ardea, 69:185-191","Public Domain","None","Hard Copy - Graphical","None"
531,"Linden, H. & Rajala, P.","1981","Fluctuations and long-term in the relative densities of tetraonid populations in Finland, 1964-77.","Finnish Game Reserve, 39:13-34.","Public Domain","None","Hard Copy - Graphical","None"
532,"Waloff, N. & Thompson, P.","1980","Census data of populations of some leafhoppers (Auchenorrhyncha, Homoptera) of acidic grassland.","Journal of Animal Ecology, 49:395-416","Public Domain","None","Electronic transfer","None"
533,"Hornfeldt, B.","1978","Synchronous population fluctuations in voles, small game, owls, and Tularemia in northern Sweden.","Oecologia, 32:141-152","Public Domain","None","Hard Copy - Graphical","Data obtained from the Bird Ringing Office of the Swedish Museum of Natural History."
534,"Hanski, I.","1987","Populations of small mammals cycle - unless they don't.","TREE, 2:55-56","Public Domain","Dept. of Zoology, University of Helsinki, P. Rautatiekatu 13, SF-00100 Helsinki, Finland.","Hard Copy - Graphical","None"
535,"Wool, D.","1990","Regular alternation of high and low population size of gall-forming aphids: analysis of ten years of data.","Oikos, 57:73-79","Public Domain","Dept. of Zoology, George S. Wise Faculty of Life Sciences, Tel Aviv Univ., Tel Aviv 69978, Israel.","Hard Copy - Graphical","None"
536,"Sillen-Tullberg, B. & Solbreck, C.","1990","Population dynamics of a seed feeding bug, Lygaeus equestris. 2. Temporal dynamics.","Oikos, 58:210-218","Public Domain","Dept. of Zoology, Univ. of Stockholm, S-106 91 Stockholm, Sweden.","Hard Copy - Graphical","None"
537,"Angerbjorn, A.","1989","Mountain hare populations on islands: effects of predation by red fox.","Oecologia, 81:335-340","Public Domain","Dept. of Zoology, Univ. of Stockholm, S-10691 Stockholm, Sweden","Hard Copy - Graphical","None"
538,"Milne, A., Laughlin, R. & Coggins, R.E.","1965","The 1955 and 1959 population crashes in the leatherjacket, Tipula paludosa Meigen, in Northumberland.","Un-named book chapter pp529 - 544","Public Domain","None","Hard Copy - Graphical","None"
539,"Berryman, A.A.","1991","The gypsy moth in North America: A case of successful biological control?","TREE, 6:110-111","Public Domain","Depts. of Entomology and natural Resource Sciences, Washington State University, Pu;;man, WA 99164-6432, USA","Hard Copy - Graphical","None"
540,"Lack, P.C.","1987","The effects of severe hedge cutting on a breeding bird population.","Bird Study, 34:139-146","Public Domain","Agricultural Birds Unit, British trust for Ornithology, Beech Grove, Tring, Herts HP23 5NR","Hard Copy - Graphical","None"
541,"Mazaikaite, S.","1997","The abundance of dominant zooplankton species in Lake Druksiai 1st station.","Unpublished data 4","Unpublished","Institute of Botany, Zaliuju Ezeru 47, Vilnius 2021, Lithuania.","Hard Copy - Tabular","None"
542,"Jankaviciute, G.","1997","The abundance of microalgar species in Lake Druksiai 1st station.","Unpublished data 5","Unpublished","Institute of Botany, Zaliuju Ezeru 47, Vilnius 2021, Lithuania.","Hard Copy - Tabular","None"
543,"Tormosov, D.D. & Rezvov, G.V.","1977","II Seal populations and the methods for carrying censuses; the biology of seals.","Proceedings of the Symposium on the conservation of Baltic seals. Finish Game Research, 37:14-17","Public Domain","None","Hard Copy - Tabular","None"
544,"Wendland, V.","1975","Dreijahriger rhythmus im bestandswechsel der gelbhalsmaus (Apodemus flavicollis Melchior).","Oecology, 20:301-310","Public Domain","None","Hard Copy - Tabular","In German."
545,"Schindler, D.W.","1990","Experimental perturbations of whole lakes as tests of hypotheses concerning ecosystem structure and function.","Oikos, 57:25-41","Public Domain","Dept. of Fisheries and Oceans, Freshwater Inst., 501 University Crescent, Winnipeg, Manitoba, Canada R3T 2N6","Hard Copy - Graphical","None"
546,"Anon.","1997","Sea otter (Enhydra lutris).","US Fish & Wildlife Service/California Dept. of Fish & Game","Public Domain","None","Hard Copy - Tabular","None"
547,"Korpimaki, E. & Norrdahl, K.","1989","Predation of Tengmalm's owls: numerical responses, functional responses and dampening impact on population fluctuations of microtines.","Oikos, 54:154-164","Public Domain","None","Hard Copy - Tabular","None"
548,"Elton, C & Nicholson, M.","1942","The ten-year cycle in numbers of the lynx in Canada.","Journal of Animal Ecology,11:215-44","Public Domain","None","Hard Copy - Tabular","In this paper the years have been converted to the years of production. The areas of the districts changed considerably over the years, therefore regional units were chosen that stayed more constant."
